frame,class_id,confidence,inference_time
0,2,0.8645612001419067,0.5292954444885254
0,2,0.7812496423721313,0.5292954444885254
0,2,0.7579419016838074,0.5292954444885254
0,0,0.7411355376243591,0.5292954444885254
0,0,0.7385528087615967,0.5292954444885254
0,0,0.5764713287353516,0.5292954444885254
0,0,0.5756202936172485,0.5292954444885254
0,0,0.4769900143146515,0.5292954444885254
0,0,0.4539172649383545,0.5292954444885254
0,0,0.37937524914741516,0.5292954444885254
0,0,0.2855258285999298,0.5292954444885254
0,2,0.28099673986434937,0.5292954444885254
0,2,0.25232434272766113,0.5292954444885254
1,2,0.8851933479309082,0.10718345642089844
1,0,0.7787754535675049,0.10718345642089844
1,2,0.7669135332107544,0.10718345642089844
1,2,0.765414297580719,0.10718345642089844
1,0,0.7555694580078125,0.10718345642089844
1,0,0.5827598571777344,0.10718345642089844
1,0,0.5587788224220276,0.10718345642089844
1,0,0.47312361001968384,0.10718345642089844
1,0,0.4370976388454437,0.10718345642089844
1,0,0.35515522956848145,0.10718345642089844
1,0,0.3275148570537567,0.10718345642089844
1,2,0.29445958137512207,0.10718345642089844
1,2,0.2500619888305664,0.10718345642089844
2,2,0.8892565965652466,0.10284566879272461
2,0,0.7710997462272644,0.10284566879272461
2,0,0.7550069093704224,0.10284566879272461
2,2,0.6910734176635742,0.10284566879272461
2,0,0.5019228458404541,0.10284566879272461
2,0,0.3969181180000305,0.10284566879272461
2,0,0.3857010304927826,0.10284566879272461
2,2,0.335154265165329,0.10284566879272461
2,0,0.27815118432044983,0.10284566879272461
3,2,0.8723067045211792,0.1047978401184082
3,2,0.7464148998260498,0.1047978401184082
3,0,0.7275311350822449,0.1047978401184082
3,0,0.7249330282211304,0.1047978401184082
3,0,0.5672081708908081,0.1047978401184082
3,2,0.5421624183654785,0.1047978401184082
3,0,0.38310328125953674,0.1047978401184082
3,0,0.3370361626148224,0.1047978401184082
3,0,0.2701331675052643,0.1047978401184082
3,0,0.2536022663116455,0.1047978401184082
4,2,0.8840410709381104,0.16745519638061523
4,2,0.7604035139083862,0.16745519638061523
4,0,0.756765604019165,0.16745519638061523
4,0,0.7300022840499878,0.16745519638061523
4,2,0.6460893750190735,0.16745519638061523
4,0,0.5803251266479492,0.16745519638061523
4,0,0.46986374258995056,0.16745519638061523
4,0,0.35612279176712036,0.16745519638061523
4,0,0.29689326882362366,0.16745519638061523
4,0,0.2919357419013977,0.16745519638061523
4,2,0.2712786793708801,0.16745519638061523
5,2,0.8867166638374329,0.25937604904174805
5,0,0.7559767961502075,0.25937604904174805
5,2,0.7370001673698425,0.25937604904174805
5,0,0.733722448348999,0.25937604904174805
5,0,0.5802358984947205,0.25937604904174805
5,2,0.5122501254081726,0.25937604904174805
5,0,0.48719996213912964,0.25937604904174805
5,0,0.43210530281066895,0.25937604904174805
5,0,0.407931923866272,0.25937604904174805
5,0,0.3567342460155487,0.25937604904174805
5,0,0.28447961807250977,0.25937604904174805
6,2,0.8895812034606934,0.2316145896911621
6,0,0.7707647681236267,0.2316145896911621
6,0,0.7623848915100098,0.2316145896911621
6,2,0.7267900705337524,0.2316145896911621
6,0,0.5656225681304932,0.2316145896911621
6,0,0.5217023491859436,0.2316145896911621
6,0,0.4477264881134033,0.2316145896911621
6,0,0.4205628037452698,0.2316145896911621
6,0,0.3970564603805542,0.2316145896911621
6,0,0.3158653676509857,0.2316145896911621
6,0,0.29468828439712524,0.2316145896911621
7,2,0.8953714370727539,0.3042898178100586
7,0,0.7802754640579224,0.3042898178100586
7,0,0.7289621829986572,0.3042898178100586
7,2,0.675188422203064,0.3042898178100586
7,0,0.5277205109596252,0.3042898178100586
7,0,0.4807594418525696,0.3042898178100586
7,0,0.4404090940952301,0.3042898178100586
7,0,0.43159037828445435,0.3042898178100586
7,0,0.3979344367980957,0.3042898178100586
7,0,0.3606707453727722,0.3042898178100586
8,2,0.8865991830825806,0.28781628608703613
8,0,0.8090883493423462,0.28781628608703613
8,2,0.7410043478012085,0.28781628608703613
8,0,0.7068228721618652,0.28781628608703613
8,0,0.5316674709320068,0.28781628608703613
