frame,class_id,confidence,inference_time
0,2,0.2627984583377838,0.8277881145477295
1,0,0.3207203149795532,0.21398210525512695
2,0,0.25024959444999695,0.18377089500427246
3,0,0.2945655882358551,0.15823125839233398
4,0,0.2624129354953766,0.1694800853729248
5,0,0.2505161762237549,0.1717514991760254
6,0,0.2862398624420166,0.18233323097229004
7,0,0.26803749799728394,0.1640639305114746
8,2,0.30525892972946167,0.1655712127685547
9,2,0.2699691355228424,0.15807557106018066
10,2,0.2738766074180603,0.17275166511535645
11,0,0.3287445604801178,0.15537071228027344
12,2,0.2803007662296295,0.1559767723083496
13,2,0.33317244052886963,0.14775633811950684
14,0,0.2539953291416168,0.17634201049804688
15,0,0.26834309101104736,0.17067885398864746
16,0,0.2587865889072418,0.1516873836517334
17,0,0.28941860795021057,0.1524970531463623
18,2,0.2539040148258209,0.15030837059020996
19,0,0.3457399308681488,0.1621103286743164
20,2,0.304404079914093,0.22907471656799316
21,2,0.27681764960289,0.17545056343078613
22,0,0.2888725996017456,0.1632673740386963
23,0,0.29287824034690857,0.15319585800170898
24,0,0.3126923739910126,0.2121107578277588
25,2,0.25050339102745056,0.173095703125
26,2,0.26042139530181885,0.1579735279083252
27,2,0.2968660593032837,0.1928269863128662
28,0,0.27136537432670593,0.20317506790161133
29,26,0.25234121084213257,0.6795578002929688
30,26,0.28801485896110535,0.19059038162231445
31,2,0.25313180685043335,0.21317577362060547
32,0,0.26310423016548157,0.19817256927490234
33,0,0.266927570104599,0.18006157875061035
34,0,0.2609758675098419,0.21028494834899902
35,2,0.33112722635269165,0.18782544136047363
36,0,0.3164496123790741,0.19272732734680176
37,0,0.27763354778289795,0.1817009449005127
38,0,0.26560577750205994,0.17343449592590332
39,0,0.2675975263118744,0.17898035049438477
40,0,0.26243311166763306,0.17037367820739746
41,0,0.31963032484054565,0.17467498779296875
42,2,0.2547834515571594,0.18361210823059082
43,0,0.3337298035621643,0.1807270050048828
44,0,0.3307448923587799,0.1685619354248047
