frame,model,condition,confidence,class_id,inference_time
0,FP32,blur_sigma1,0.8686429858207703,2,0.30793261528015137
0,FP32,blur_sigma1,0.785020649433136,2,0.30793261528015137
0,FP32,blur_sigma1,0.774542510509491,0,0.30793261528015137
0,FP32,blur_sigma1,0.6591985821723938,0,0.30793261528015137
0,FP32,blur_sigma1,0.5853558778762817,2,0.30793261528015137
0,FP32,blur_sigma1,0.4944091737270355,0,0.30793261528015137
0,FP32,blur_sigma1,0.46592071652412415,0,0.30793261528015137
0,FP32,blur_sigma1,0.4143097400665283,0,0.30793261528015137
0,FP32,blur_sigma1,0.31733566522598267,0,0.30793261528015137
0,FP32,blur_sigma1,0.28503912687301636,0,0.30793261528015137
0,FP32,blur_sigma1,0.25676149129867554,2,0.30793261528015137
0,FP32,blur_sigma1,0.25474536418914795,2,0.30793261528015137
1,FP32,blur_sigma1,0.864162802696228,2,0.06503176689147949
1,FP32,blur_sigma1,0.7816814184188843,2,0.06503176689147949
1,FP32,blur_sigma1,0.7731607556343079,0,0.06503176689147949
1,FP32,blur_sigma1,0.6767783164978027,0,0.06503176689147949
1,FP32,blur_sigma1,0.5985991358757019,2,0.06503176689147949
1,FP32,blur_sigma1,0.4804697632789612,0,0.06503176689147949
1,FP32,blur_sigma1,0.4633777439594269,0,0.06503176689147949
1,FP32,blur_sigma1,0.40594372153282166,0,0.06503176689147949
1,FP32,blur_sigma1,0.3932180106639862,0,0.06503176689147949
1,FP32,blur_sigma1,0.34840449690818787,0,0.06503176689147949
1,FP32,blur_sigma1,0.30635714530944824,0,0.06503176689147949
1,FP32,blur_sigma1,0.26234573125839233,2,0.06503176689147949
2,FP32,blur_sigma1,0.8674888610839844,2,0.06441879272460938
2,FP32,blur_sigma1,0.76506108045578,0,0.06441879272460938
2,FP32,blur_sigma1,0.6599361300468445,0,0.06441879272460938
2,FP32,blur_sigma1,0.5278450846672058,2,0.06441879272460938
2,FP32,blur_sigma1,0.4463089108467102,2,0.06441879272460938
2,FP32,blur_sigma1,0.4072582721710205,0,0.06441879272460938
2,FP32,blur_sigma1,0.3410848379135132,0,0.06441879272460938
2,FP32,blur_sigma1,0.29276424646377563,0,0.06441879272460938
2,FP32,blur_sigma1,0.264634907245636,0,0.06441879272460938
2,FP32,blur_sigma1,0.2587651014328003,0,0.06441879272460938
3,FP32,blur_sigma1,0.8581483960151672,2,0.06920838356018066
3,FP32,blur_sigma1,0.7276967167854309,0,0.06920838356018066
3,FP32,blur_sigma1,0.7248610854148865,2,0.06920838356018066
3,FP32,blur_sigma1,0.6432746052742004,0,0.06920838356018066
3,FP32,blur_sigma1,0.5097407102584839,2,0.06920838356018066
3,FP32,blur_sigma1,0.4281266927719116,0,0.06920838356018066
3,FP32,blur_sigma1,0.350145161151886,0,0.06920838356018066
3,FP32,blur_sigma1,0.3031104505062103,0,0.06920838356018066
4,FP32,blur_sigma1,0.8841152191162109,2,0.06310319900512695
4,FP32,blur_sigma1,0.7804752588272095,0,0.06310319900512695
4,FP32,blur_sigma1,0.7387948632240295,2,0.06310319900512695
4,FP32,blur_sigma1,0.703133225440979,0,0.06310319900512695
4,FP32,blur_sigma1,0.5755327939987183,2,0.06310319900512695
4,FP32,blur_sigma1,0.5235830545425415,0,0.06310319900512695
4,FP32,blur_sigma1,0.40941476821899414,0,0.06310319900512695
4,FP32,blur_sigma1,0.2977379858493805,0,0.06310319900512695
4,FP32,blur_sigma1,0.2736217975616455,0,0.06310319900512695
5,FP32,blur_sigma1,0.8740496635437012,2,0.05713701248168945
5,FP32,blur_sigma1,0.736811637878418,0,0.05713701248168945
5,FP32,blur_sigma1,0.7274095416069031,0,0.05713701248168945
5,FP32,blur_sigma1,0.694645345211029,2,0.05713701248168945
5,FP32,blur_sigma1,0.5778962969779968,2,0.05713701248168945
5,FP32,blur_sigma1,0.5384659767150879,0,0.05713701248168945
5,FP32,blur_sigma1,0.377936989068985,0,0.05713701248168945
5,FP32,blur_sigma1,0.3401293456554413,0,0.05713701248168945
5,FP32,blur_sigma1,0.29122394323349,0,0.05713701248168945
5,FP32,blur_sigma1,0.2653229534626007,0,0.05713701248168945
6,FP32,blur_sigma1,0.8951129913330078,2,0.05259966850280762
6,FP32,blur_sigma1,0.7427665591239929,0,0.05259966850280762
6,FP32,blur_sigma1,0.734842836856842,0,0.05259966850280762
6,FP32,blur_sigma1,0.7090312838554382,2,0.05259966850280762
6,FP32,blur_sigma1,0.5160704851150513,2,0.05259966850280762
6,FP32,blur_sigma1,0.4953806698322296,0,0.05259966850280762
6,FP32,blur_sigma1,0.4247002899646759,0,0.05259966850280762
6,FP32,blur_sigma1,0.3765847086906433,0,0.05259966850280762
6,FP32,blur_sigma1,0.32527491450309753,0,0.05259966850280762
6,FP32,blur_sigma1,0.3147689998149872,0,0.05259966850280762
7,FP32,blur_sigma1,0.9035100340843201,2,0.053070783615112305
7,FP32,blur_sigma1,0.7994871735572815,0,0.053070783615112305
7,FP32,blur_sigma1,0.6944026350975037,2,0.053070783615112305
7,FP32,blur_sigma1,0.6787822246551514,0,0.053070783615112305
7,FP32,blur_sigma1,0.44948142766952515,0,0.053070783615112305
7,FP32,blur_sigma1,0.43010592460632324,2,0.053070783615112305
7,FP32,blur_sigma1,0.41510462760925293,0,0.053070783615112305
7,FP32,blur_sigma1,0.37532156705856323,0,0.053070783615112305
7,FP32,blur_sigma1,0.37410691380500793,0,0.053070783615112305
7,FP32,blur_sigma1,0.36310797929763794,0,0.053070783615112305
7,FP32,blur_sigma1,0.2672288417816162,0,0.053070783615112305
8,FP32,blur_sigma1,0.9028834700584412,2,0.06166839599609375
8,FP32,blur_sigma1,0.8119576573371887,0,0.06166839599609375
8,FP32,blur_sigma1,0.7112039923667908,2,0.06166839599609375
8,FP32,blur_sigma1,0.6558064818382263,0,0.06166839599609375
8,FP32,blur_sigma1,0.4669421911239624,0,0.06166839599609375
8,FP32,blur_sigma1,0.43892279267311096,0,0.06166839599609375
8,FP32,blur_sigma1,0.4246057868003845,0,0.06166839599609375
8,FP32,blur_sigma1,0.4203384220600128,2,0.06166839599609375
8,FP32,blur_sigma1,0.41893288493156433,0,0.06166839599609375
8,FP32,blur_sigma1,0.3649888038635254,0,0.06166839599609375
8,FP32,blur_sigma1,0.29564014077186584,0,0.06166839599609375
8,FP32,blur_sigma1,0.28622591495513916,0,0.06166839599609375
9,FP32,blur_sigma1,0.8663581609725952,2,0.05865764617919922
9,FP32,blur_sigma1,0.8072349429130554,0,0.05865764617919922
9,FP32,blur_sigma1,0.6858204007148743,2,0.05865764617919922
9,FP32,blur_sigma1,0.6739780902862549,0,0.05865764617919922
9,FP32,blur_sigma1,0.4828064739704132,0,0.05865764617919922
9,FP32,blur_sigma1,0.4734584391117096,0,0.05865764617919922
9,FP32,blur_sigma1,0.3994167447090149,0,0.05865764617919922
9,FP32,blur_sigma1,0.3959423899650574,0,0.05865764617919922
9,FP32,blur_sigma1,0.3749413788318634,0,0.05865764617919922
9,FP32,blur_sigma1,0.3489890396595001,2,0.05865764617919922
9,FP32,blur_sigma1,0.34006041288375854,0,0.05865764617919922
9,FP32,blur_sigma1,0.2925204634666443,0,0.05865764617919922
9,FP32,blur_sigma1,0.266866534948349,0,0.05865764617919922
10,FP32,blur_sigma1,0.8531579971313477,2,0.05799460411071777
10,FP32,blur_sigma1,0.7623827457427979,0,0.05799460411071777
10,FP32,blur_sigma1,0.6884860396385193,0,0.05799460411071777
